question,passage,idx,label
Есть ли вода на марсе?,"Гидросфера Марса — это совокупность водных запасов планеты Марс, представленная водным льдом в полярных шапках Марса, льдом над поверхностью, сезонными ручьями из жидкой воды и возможными резервуарами жидкой воды и водных растворов солей в верхних слоях литосферы Марса. Гидросфера Марса, вследствие господствующих низких температур на Марсе и нахождения запасов воды в твердом состоянии, также называется криолитосферой. Основная статья: История поисков воды на Марсе Марс весьма схож с Землей по многим показателям, что заставляло учёных XIX — начала XX века допускать, что на нём есть жизнь и есть жидкая вода. По мере роста объёма данных о планете, собранных различными методами, например, с помощью спектроскопических измерений, стало понятно, что воды в атмосфере Марса ничтожно малое количество, однако она всё же присутствует. Прежде всего внимание исследователей привлекли полярные шапки Марса, так как предполагалось, что они могут состоять из водного льда по аналогии с Антарктидой или Гренландией на Земле, однако высказывалась и гипотеза, что это твёрдый диоксид углерода.",0,1
Состоит ли англия в евросоюзе?,"В полночь с 31 января на 1 февраля 2020 года по центральноевропейскому времени после 47 лет членства Великобритания официально покинула Евросоюз. В Европейский союз входят 27 государств: Количество стран, участвующих в союзе, выросло с начальных шести — Бельгии, Западной Германии, Италии, Люксембурга, Нидерландов и Франции — до сегодняшних 27 путём последовательных расширений: присоединяясь к договорам, страны ограничивали свой суверенитет в обмен на представительство в институтах союза, действующих в общих интересах. Для вступления в Европейский союз страна-кандидат должна соответствовать Копенгагенским критериям, принятым в июне 1993 года на заседании Европейского совета в Копенгагене и утверждённым в декабре 1995 года на заседании Европейского совета в Мадриде. Критерии требуют, чтобы в государстве соблюдались демократические принципы, принципы свободы и уважения прав человека, а также принцип правового государства. Также в стране должна присутствовать конкурентоспособная рыночная экономика, и должны признаваться общие правила и стандарты ЕС, включая приверженность целям политического, экономического и валютного союза.",1,0
Действительно ли в ссср не было адвокатов?,"Семён Львович Ария  — советский и российский юрист, один из крупнейших советских адвокатов, Заслуженный юрист РСФСР. Родился в еврейской семье , детство провёл на Украине в г. Харькове. После окончания средней школы в течение года учился на мостовом факультете Новосибирского института военных инженеров транспорта. В начале Великой Отечественной войны был призван в Красную Армию в Харькове, окончив курсы 19-го учебного танкового полка в Нижнем Тагиле, стал механиком-водителем танка, затем — разведчиком дивизиона гвардейских минометов . Участвовал в боевых действиях на Северном Кавказе, Кубани, Украине, в Болгарии, Венгрии, Австрии, старший сержант.",2,0
Была ли чума в оране?,"Чума — это и абсурд, что осмысливается как форма существования зла, это и трагическая судьба, которая уменьшает переход самого писателя от одинокого бунтарства к определению сообщества, чью борьбу надо разделять, эволюции в направлении к солидарности и соучастия. Сюжет романа основывается на событиях чумного года в Оране , ужасной эпидемии, которая толкнула горожан в пучину страданий и смерти. Рассказывает об этом доктор Риэ — человек, который признаёт только факты. Стремится к точности их изложения, не прибегая ни к какому художественному украшению. По натуре, мировоззрением, характером занятий, ходом событий он ориентируется только на разум и логику, не признаёт двусмысленности, хаоса, иррациональности.",3,1
Был ли кетчуп в читосе?,Текущий каталог продукции размещен на сайте производителя. Кетчуп  Колбаска и бекон  Краб  Луковые кольца  Паприка  Пицца  Рождественская индейка  Сметана и лук  Стейк на пылающем гриле  Сыр и лук  Сырный сыр  Original Копчёный бекон  Барбекю стейк  Соль и уксус  Паприка на гриле  Соус табаско  Оригинальный  Сыр по-гречески  Тайские специи  Красный перец  Итальянский песто  Лёгкая сметана и лук  Стейк-гриль и карамелизованный лук  Морская соль и бальзамический уксус  Тёртый созревший сыр и зелёный лук  Тайский сладкий чили и цитронелла  Соль и уксус  Горячий и острый  Красная паприка  Тайский чили и лайм  Сыр и лук  Сметана и лук  Sweet BBQ Spare Rib Сыр и лук  Техасский барбекю-соус  Оригинальный  Сметана и лук  Соль и уксус  Blastin' Buffalo Wing Вопиющий укропный рассол  Взрывные сыр и чили  Огненный соус чили  Огненный васаби  Экстра сырный начо сыр  Экстра сметана и лук  Экстра дерзкий барбекю  Экстра пряный соус чили,4,1
Был ли побег из алькатраса?,"ФБР провело крупную операцию по розыску беглецов, однако она не увенчалась успехом. По официальной версии, преступникам не удалось переправиться через залив. О результатах побега из Алькатраса до сих пор ничего не известно, несмотря на многолетние поиски. Один из допрашиваемых сообщил, что если бы ему пришлось искать Морриса и братьев Энглин, он бы начал поиски в Мексике с окрестностей Гвадалахары, так как Моррис, свободно владеющий испанским, провёл в этой местности много времени с 1953 по 1956 год, и имел там много знакомых. Однако расследование в указанной местности не принесло результатов.",5,1
Была ли русь под игом?,"Данная статья рассматривает ликвидацию ордынского ига только на территориях складывавшегося Русского государства в конце XV века. О прекращении ига в юго-западных русских землях в XIV веке см. Великое княжество Литовское. Свержение монголо-татарского ига — процесс преодоления во главе с великим княжеством Московским политической и даннической зависимости земель великого княжения Владимирского  от Золотой Орды в XIV—XV веках, проходивший в условиях распада Золотой Орды на несколько ханств . Значительная часть территории русских княжеств, попавших в зависимость от Монгольской империи и Золотой Орды в середине XIII века, была присоединена Великим княжеством Литовским и Польшей в 1320—1404 годах, тем самым прекратилась политическая зависимость этих земель от Золотой Орды, однако известно о временном возобновлении даннической зависимости от Орды южнорусских земель в составе Литвы во 2-й половине XIV века.",6,1
Была ли русь под игом?,"Данная статья рассматривает ликвидацию ордынского ига только на территориях складывавшегося Русского государства в конце XV века. О прекращении ига в юго-западных русских землях в XIV веке см. Великое княжество Литовское. Свержение монголо-татарского ига — процесс преодоления во главе с великим княжеством Московским политической и даннической зависимости земель великого княжения Владимирского  от Золотой Орды в XIV—XV веках, проходивший в условиях распада Золотой Орды на несколько ханств . Значительная часть территории русских княжеств, попавших в зависимость от Монгольской империи и Золотой Орды в середине XIII века, была присоединена Великим княжеством Литовским и Польшей в 1320—1404 годах, тем самым прекратилась политическая зависимость этих земель от Золотой Орды, однако известно о временном возобновлении даннической зависимости от Орды южнорусских земель в составе Литвы во 2-й половине XIV века.",6,1
,,,
Была ли русь под игом?,"Данная статья рассматривает ликвидацию ордынского ига только на территориях складывавшегося Русского государства в конце XV века. О прекращении ига в юго-западных русских землях в XIV веке см. Великое княжество Литовское. Свержение монголо-татарского ига — процесс преодоления во главе с великим княжеством Московским политической и даннической зависимости земель великого княжения Владимирского  от Золотой Орды в XIV—XV веках, проходивший в условиях распада Золотой Орды на несколько ханств . Значительная часть территории русских княжеств, попавших в зависимость от Монгольской империи и Золотой Орды в середине XIII века, была присоединена Великим княжеством Литовским и Польшей в 1320—1404 годах, тем самым прекратилась политическая зависимость этих земель от Золотой Орды, однако известно о временном возобновлении даннической зависимости от Орды южнорусских земель в составе Литвы во 2-й половине XIV века.",6,1
,,,
Была ли русь под игом?,"Данная статья рассматривает ликвидацию ордынского ига только на территориях складывавшегося Русского государства в конце XV века. О прекращении ига в юго-западных русских землях в XIV веке см. Великое княжество Литовское. Свержение монголо-татарского ига — процесс преодоления во главе с великим княжеством Московским политической и даннической зависимости земель великого княжения Владимирского  от Золотой Орды в XIV—XV веках, проходивший в условиях распада Золотой Орды на несколько ханств . Значительная часть территории русских княжеств, попавших в зависимость от Монгольской империи и Золотой Орды в середине XIII века, была присоединена Великим княжеством Литовским и Польшей в 1320—1404 годах, тем самым прекратилась политическая зависимость этих земель от Золотой Орды, однако известно о временном возобновлении даннической зависимости от Орды южнорусских земель в составе Литвы во 2-й половине XIV века.",6,1
